"","M.cap.1.1.Out","M.cap.1.2.Out","M.cap.1.3.Out","A.yong.1.1.Out","A.yong.1.2.Out","A.yong.1.3.Out","T.ren.1.1.Out","T.ren.1.2.Out","T.ren.1.3.Out","M.cap.2.1.Out","M.cap.2.2.Out","M.cap.2.3.Out","M.dig.2.1.Out","M.dig.2.2.Out","M.dig.2.3.Out","M.cap.3.1.Out","M.cap.3.2.Out","M.cap.3.3.Out","A.mill.1.1.Out","A.mill.1.2.Out","A.mill.1.3.Out","A.hum.1.1.Out","A.hum.1.2.Out","A.hum.1.3.Out","Acro.1.1.Out","Acro.1.2.Out","Acro.1.3.Out","Acro.2.1.Out","Acro.2.2.Out","Acro.2.3.Out","Pav.1.1.Out","Pav.1.2.Out","Pav.1.3.Out","T.ren.2.1.Out","T.ren.2.2.Out","T.ren.2.3.Out","Psam.1.1.Out","Psam.1.2.Out","Psam.1.3.Out","P.dam.2.1.Out","P.dam.2.2.Out","P.dam.2.3.Out","P.dam.3.1.Out","P.dam.3.2.Out","P.dam.3.3.Out","Cyph.1.1.Out","Cyph.1.2.Out","Cyph.1.3.Out","A.hum.2.1.In","A.hum.2.2.In","A.hum.2.3.In","M.cap.3.1.In","M.cap.3.2.In","M.cap.3.3.In","M.cap.2.1.In","M.cap.2.2.In","M.cap.2.3.In","T.ren.1.1.In","T.ren.1.2.In","T.ren.1.3.In"
"Tau2.3.0",1895166.384,2037755.999,2501924.554,2039669.751,4322915.65,2673410.226,5346873.829,1841545.613,5028769.459,4144921.82,4876319.92,5858911.65,5958770.354,3412170.988,3433818.852,3459406.489,3209066.901,3693207.045,3118722.879,2183355.59,2052773.378,2057940.276,2426138.96,2955006.716,11643842.87,6482984.097,1818825.666,2078029.767,3969764.157,1918890.192,6438976.975,2269414.933,2282299.104,2834512.919,3667410.952,2253649.987,2322284.973,1846128.99,2262706.939,2199220.593,2130475.089,1961959.053,1770703.112,1324743.387,1844562.553,1647514.718,1756935.671,1772362.531,3070319.278,3689011.553,2599516.633,2723680.325,4497722.076,2594420.941,3126289.076,3532381.115,3574764.271,1286595.233,1491048.598,1695152.476
"NPQ.3.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019325806,0,0.071618798,0.031978867,0.125795322,0,0,0,0,0,0,0.000465917,0.090821801,0,0,0,0,0,0,0,0.016813931,0,0,0,0,0,0,0.07156397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"qP.3.0",0.200670031,0.159932436,0.156411185,0.169158546,0.107916641,0.145887086,0.112910053,0.143219634,0.091494841,0.105195236,0.084596624,0.074360361,0.065309898,0.060495179,0.106467838,0.131823492,0.149095668,0.158062405,0.284750479,0.240429671,0.416780761,0.150416938,0.135649956,0.106642525,0.054365575,0.058714179,0.213696633,0.158122429,0.262417503,0.12316067,0.127922387,0.136238858,0.147841939,0.126816205,0.112571304,0.150204535,0.26174045,0.229645632,0.190423515,0.134426749,0.116553704,0.196785744,0.16404185,0.39426299,0.169628999,0.195745121,0.162776098,0.199966702,0.138465326,0.113165725,0.149653595,0.170739994,0.151964525,0.158989252,0.112646487,0.120596793,0.124208923,0.235854782,0.212300786,0.228122613
"ABQ.3.0",0.390299517,0.336210571,0.377762727,0.358453787,0.387562861,0.448777161,0.212372633,0.186796814,0.488735089,0.570880431,0.375637,0.551439623,0.576500802,0.313382576,0.482010992,0.347901938,0.364398318,0.249413048,0.39998655,0.358410096,0.380141351,0.436954723,0.615128312,0.613417674,0.133030104,0,0.381989524,0.326078091,0.301537069,0.312374252,0.574387482,0.536026281,0.338596982,0.332449066,0.192523286,0.230596634,0.332976618,0.369394913,0.22278315,0.329459895,0.324947844,0.37813165,0.372006217,0.312629387,0.294772562,0.181759458,0.35625893,0.403369363,0.574999768,0.279861565,0.500050455,0.303427023,0.361654658,0.421119222,0.41518601,0.451408889,0.453901976,0.165296421,0.345724311,0.263389557
"Quant.4.0",0.164584791,0.144152375,0.139666555,0.135489975,0.102040995,0.110311931,0.085768039,0.117360184,0.0589453,0.076704175,0.062052862,0.050078518,0.0558474,0.065030238,0.092115148,0.087767767,0.083010096,0.094427174,0.114718791,0.143403775,0.158146865,0.120336587,0.123813911,0.0850612,0.050348889,0.08005088,0.143302179,0.136349108,0.117351958,0.090836725,0.10190635,0.115599016,0.110938973,0.107170661,0.096335546,0.110612747,0.130671697,0.144539505,0.124441206,0.106576013,0.092579504,0.131874248,0.132563566,0.166286959,0.136533452,0.15998542,0.127838384,0.136234442,0.109281581,0.080026906,0.097402443,0.110585182,0.101840649,0.099714423,0.088261238,0.086501547,0.100121729,0.192778149,0.154699559,0.173782769
"Sigma.4.0",4.028187098,3.50177688,3.15904377,3.980705174,3.821819842,3.665305069,4.083867579,3.609316701,4.233197185,4.374671999,4.838272466,4.383555499,4.098798119,3.742581519,3.384824494,3.500569872,3.214359645,3.70255841,4.839794874,5.389480301,4.767762039,4.169576767,4.404191139,4.752805592,5.22956391,3.930071808,3.570109592,4.824787849,5.255648481,4.578157669,5.211135885,4.013522231,3.435909431,2.858154447,3.706490566,2.816702816,4.11208743,4.969897855,3.844614155,4.794675273,3.942230344,4.196356784,3.811137186,4.134447579,3.928478547,4.074577663,6.157419761,4.134703446,4.389455268,4.978985158,4.411313377,3.682337407,3.965236353,3.586222995,3.90505437,5.220865607,4.019014422,3.748582683,4.93800944,3.915459175
"Connect.4.0",0.362328641,0.11738322,0.162604014,0.304052762,0.349970797,0.36197282,0.141889672,0.279172251,0.34476975,0.29535677,0.306065884,0.679221577,0.5725491,0.410741795,0.351958429,0.360678309,0.290203861,0.465806884,0.084881037,0.124623227,0.019118045,0.248117832,0.282698813,0.389762523,0.36875717,0.462837096,0.3056867,0.280602931,0.308503396,0.309410538,0.333622277,0.028309957,0.362773705,0.349544711,0.267552484,0.466333215,0.16306736,0.065235686,0.355178466,0.402621639,0.253001888,0.220475572,0.239758276,0.120065877,0.011767884,0.282669231,0.201898679,0.174577723,0.045788038,0.31299893,0.476730324,0.281143186,0.326628439,0.418357569,0.200295018,0.311344983,0.119225989,0.028759929,0.30612126,0.108567543
"Tau1.4.0",1314.685464,1591.523697,1436.468152,1880.632531,2222.558535,2338.287735,2132.140839,2660.313456,2128.302233,2125.403841,2714.999563,1795.909446,3133.063957,2508.178772,2067.563733,1244.823004,872.0607887,1369.651115,1343.124642,1453.289929,1331.184113,1172.117971,1644.535236,1210.929987,4389.505242,3617.196407,1630.184411,1538.200189,1830.98187,1529.128667,4127.980801,3620.353242,2639.849575,1846.618285,1586.768426,1113.035642,1503.676388,1344.735063,1658.342445,2064.324788,3097.997767,1592.588214,2157.123743,1921.559223,2543.902138,1840.155581,3436.980737,2166.469434,1276.997235,1633.673666,1960.539468,1222.096385,1650.033754,1360.968653,1617.028063,1431.082827,1117.83246,1135.053685,1408.87593,1108.29118
"Tau2.4.0",1332592.495,1557241.327,1773741.412,1447867.999,2236627.674,1923721.666,6934725.403,2140208.559,3447047.143,4850756.38,7723399.074,5715234.863,4557076.74,3338279.095,2079923.148,5951363.925,3120204.82,3516577.693,2818725.337,1844672.584,1713323.904,1417427.673,1699455.617,1867809.993,3704274.199,1829541.51,1356115.234,1601842.309,2023980.186,2034779.292,2374366.028,1817267.172,1541465.425,4372259.274,6419183.174,2088455.729,1518543.859,1426041.694,1775923.024,1951041.893,3125500.93,1645035.607,1422694.304,1039964.018,1477554.531,1335999.535,1453876.109,1251039.002,1691766.963,2336648.748,2558709.87,3498825.273,3761461.306,2699225.118,3114387.61,2757796.105,2341523.226,1231304.877,1031768.89,1551719.347
"NPQ.4.0",0.099393595,0.096583654,0.168134164,0.03593862,0.031207454,0.045230056,0.096809646,0.051179652,0.040124285,0.095098651,0.089665729,0.070931041,0.098978946,0.10570339,0.083124832,0.297254812,0.444187223,0.269369711,0.3119935,0.315350574,0.481139073,0.071535673,0.163404151,0.092560784,0.001979429,0.03237307,0.182670212,0.263311299,0.537301012,0.332949296,0.049783382,0.013970009,0.063058472,0.138990317,0.163642677,0.212812216,0.13585208,0.125442418,0.103745904,0.169236053,0.037954358,0.040909256,0.118760302,0.251505597,0.129911547,0.023283249,0.021794348,0.016741559,0.139340514,0.028400559,0.079761518,0.185902358,0.171792289,0.217504388,0.154285305,0.201873746,0.159987063,0.105781838,0.103371242,0.174321964
